"النص المصدر","ترجمة النص"
"Select an app to continue","اختر أحد التطبيقات للمتابعة"
"Choose the items you want to show in the sidebar","اختر العناصر التي تريد إظهارها في الشريط الجانبي"
"Certification Template","قالب الشهادة"
"Settings","الإعدادات"
"My Profile","ملفي الشخصي"
"Optional. If this is set, students can pick a cover image from the unsplash library for their profile page.","اختياري. إذا تم تعيين هذا، فيمكن للطلاب اختيار صورة غلاف من مكتبة unsplash لصفحة الملف الشخصي الخاصة بهم."
"This will enforce students to go through programs assigned to them in the correct order.","سيؤدي هذا إلى إجبار الطلاب على متابعة البرامج المخصصة لهم بالترتيب الصحيح."
"If enabled, it sends google calendar invite to the student for evaluations.","إذا تم تمكينه، فإنه يرسل دعوة تقويم Google إلى الطالب لإجراء التقييمات."
"Apply rounding on equivalent","تطبيق التقريب على المكافئ"
"Show USD equivalent amount","عرض المبلغ المعادل بالدولار الأمريكي"
"Lists","القوائم"
"Categories","الفئات"
"Customise","تخصيص"
"Footer ""Powered By""","تذييل ""مدعوم بواسطة"""
"Favicon","الأيقونة المفضلة"
"Branding","العلامة التجارية"
"Enable this option to ask users to select their occupation during the signup process.","قم بتمكين هذا الخيار ليطلب من المستخدمين تحديد مهنتهم أثناء عملية الاشتراك."
"Ask for Occupation","اطلب وظيفة"
"Custom Content","محتوى مخصص"
"Signup","الاشتراكات"
"Include in Preview","تضمين في المعاينة"
"Courses Done","الدورات التدريبية التي تم الانتهاء منها"
"Assessments Done","تقييمات تم الانتهاء منها"
"Submit","إرسال"
"Reindex","إعادة الفهرسة"
"Reindex Exercises","تمارين إعادة الفهرسة"
"Mentors","المرشدين"
"Course Data","بيانات الدورة"
"Course Stats","إحصائيات الدورة"
"Course Completed","تم إكمال الدورة"
"Evaluation Request","طلب التقييم"
"Please evaluate and grade it.","يرجى تقييمه وتصنيفه."
"{0}k","{0}k"
"{0} mentioned you in a comment in your batch.","{0} ذكرك في تعليق في دفعتك."
"{0} mentioned you in a comment","{0} ذكرك في تعليق"
"{0} is your evaluator","{0} هو مقيمك"
"{0} is already certified for the course {1}","{0} معتمد بالفعل للدورة {1}"
"{0} is already a {1} of the course {2}","{0} هو بالفعل {1} من الدورة {2}"
"{0} is already a mentor for course {1}","{0} هو بالفعل مرشد للدورة {1}"
"{0} is already a Student of {1} course through {2} batch","{0} هو بالفعل طالب في دورة {1} من خلال دفعة {2}"
"{0} has submitted the assignment {1}","{0} قدم المهمة {1}"
"{0} has reported a job post for the following reason.","{0} أبلغ عن وظيفة شاغرة للسبب التالي."
"{0} has applied for the job position {1}","{0} تقدم لشغل الوظيفة {1}"
"you can","يمكنك"
"stars","النجوم"
"ratings","التقييمات"
"question_detail","question_detail"
"out of","خارج"
"members","الأعضاء"
"label","التسمية"
"jane@example.com","jane@example.com"
"issued on","في"
"header","إصدارها"
"has been","تم"
"div","div"
"correct answers","الإجابات الصحيحة"
"cancel your application","إلغاء طلبك"
"Zoom Settings","إعدادات Zoom"
"Your submission has been successfully saved. The instructor will review and grade it shortly, and you'll be notified of your final result.","تم حفظ إرساليتك بنجاح. سيراجعها المدرب ويقيمها قريبًا، وسيتم إخطارك بالنتيجة النهائية."
"Your score is","نتيجتك هي"
"Your request to join us as a mentor for the course","طلبك للانضمام إلينا كموجه للدورة"
"Your evaluator is {0}","المقيّم الخاص بك هو {0}"
"Your evaluation slot has been booked","تم حجز موعد التقييم الخاص بك"
"Your evaluation for the course {0} has been scheduled on {1} at {2} {3}.","تم جدولة تقييمك للدورة {0} في {1} الساعة {2} {3}."
"Your calendar is set.","تم ضبط التقويم الخاص بك."
"Your Account has been successfully created!","تم إنشاء حسابك بنجاح!"
"YouTube Video will appear at the top of the lesson.","سيظهر فيديو YouTube في أعلى الدرس."
